TRACE (ver. 080911) @ frequency of    6500.00     Hz
Reg Path(Re)  TimeG(s) %dTimeG/T %dPath/WL    WL(km)    R(Re) Alt(km)    Lat^o   Long^o     L(Re)     F/Fge     F/FgH   n(cm-3)   %H+  %He+   %O+ LHR/kHz   RefrInd VeK^o AzK^o ThK^o ThG^o PhK^o Gen^o Res^o
 0  0.00      0.00      0.00      0.00      46.1      3.74948  17518.  11.9000  66.0000  3.92         0.383   702.489     73.87 100.0   0.0   0.0   0.387  1.00     162.1 180.0  85.0 -35.7 180.0  40.1  67.5
STOP#5: Step decreased below its numerical limit.                                                   
TRACE (ray tracing) input values
___________________________________________________:_______|______|
GEOMAG MODEL-COORDINATES (0:DIPOLE-MAG, 1:IGRF-GEO):             0
     IGRF OR DIPOLE INTERPOLATION DATE (IYEAR,IDOY):   2016     20
MAGNETIC-FIELD multiplier    (1. for normal dipole):   1.00000    
DENS MODEL (0..DIF EQUIL 1..+PLASMAPAUSE 2...+DUCT):             0
                PLASMAPAUSE relative density change:  0.600000    
                          PLASMAPAUSE  L-HALF WIDTH:  0.500000    
                     PLASMAPAUSE L-CENTRAL POSITION:   3.00000    
                  DUCT relative density enhancement: -0.600000    
                                  DUCT L-HALF WIDTH:  0.500000    
                            DUCT L-CENTRAL POSITION:   6.65000    
              ALTITUDE of the IONOSPHERIC BASE (km):   89.0000    
                   ALTITUDE of REFERENCE LEVEL (km):   27391.0    
             DENSITY AT the REFERENCE LEVEL (cm^-3):   55.0000    
                      nH+/ne at the REFERENCE LEVEL:   1.00000    
                     nHe+/ne at the REFERENCE LEVEL:   0.00000    
                      n0+/ne at the REFERENCE LEVEL:   0.00000    
                                    temperature (K):   1000.00    
                             Initial latitude (deg):   11.9000    
                               Final latitude (deg):   60.0000    
                            Initial longitude (deg):   66.0000    
                              Initial altitude (km):   17517.5    
                                Final altitude (km):   4000.00    
                                     Frequency (Hz):   6500.00    
                       INITIAL VALUE OF THETA (deg):  -85.0000    
                         INITIAL VALUE OF Phi (deg):   0.00000    
--------- Density model ----------
Reference point: 
  R (Re)    Alt (km) ID   n(cm-3)      %H+     %He+     %O+
  5.30     0.274E+05  0  55.0      100.      0.00      0.00    
Density profile at the dipole equator: 
  L (Re)    Alt (km) ID   n(cm-3)      %H+     %He+     %O+
  1.00      0.00     -3       NaN       NaN       NaN       NaN
  1.02      127.     -3       NaN       NaN       NaN       NaN
  1.04      255.     -3       NaN       NaN       NaN       NaN
  1.06      382.     -3       NaN       NaN       NaN       NaN
  1.08      510.      0       NaN       NaN       NaN       NaN
  1.10      637.      0  839.      100.      0.00      0.00    
  1.12      765.      0  789.      100.      0.00      0.00    
  1.14      892.      0  743.      100.      0.00      0.00    
  1.16     0.102E+04  0  702.      100.      0.00      0.00    
  1.18     0.115E+04  0  664.      100.      0.00      0.00    
  1.20     0.127E+04  0  630.      100.      0.00      0.00    
  1.22     0.140E+04  0  598.      100.      0.00      0.00    
  1.24     0.153E+04  0  569.      100.      0.00      0.00    
  1.26     0.166E+04  0  542.      100.      0.00      0.00    
  1.28     0.178E+04  0  517.      100.      0.00      0.00    
  1.30     0.191E+04  0  494.      100.      0.00      0.00    
  1.32     0.204E+04  0  473.      100.      0.00      0.00    
  1.34     0.217E+04  0  453.      100.      0.00      0.00    
  1.36     0.229E+04  0  435.      100.      0.00      0.00    
  1.38     0.242E+04  0  417.      100.      0.00      0.00    
  1.40     0.255E+04  0  401.      100.      0.00      0.00    
  1.42     0.268E+04  0  386.      100.      0.00      0.00    
  1.44     0.280E+04  0  372.      100.      0.00      0.00    
  1.46     0.293E+04  0  359.      100.      0.00      0.00    
  1.48     0.306E+04  0  347.      100.      0.00      0.00    
  1.50     0.319E+04  0  335.      100.      0.00      0.00    
  1.52     0.331E+04  0  324.      100.      0.00      0.00    
  1.54     0.344E+04  0  314.      100.      0.00      0.00    
  1.56     0.357E+04  0  304.      100.      0.00      0.00    
  1.58     0.370E+04  0  295.      100.      0.00      0.00    
  1.60     0.382E+04  0  286.      100.      0.00      0.00    
  1.62     0.395E+04  0  278.      100.      0.00      0.00    
  1.64     0.408E+04  0  270.      100.      0.00      0.00    
  1.66     0.420E+04  0  263.      100.      0.00      0.00    
  1.68     0.433E+04  0  256.      100.      0.00      0.00    
  1.70     0.446E+04  0  249.      100.      0.00      0.00    
  1.72     0.459E+04  0  243.      100.      0.00      0.00    
  1.74     0.471E+04  0  237.      100.      0.00      0.00    
  1.76     0.484E+04  0  231.      100.      0.00      0.00    
  1.78     0.497E+04  0  225.      100.      0.00      0.00    
  1.80     0.510E+04  0  220.      100.      0.00      0.00    
  1.82     0.522E+04  0  215.      100.      0.00      0.00    
  1.84     0.535E+04  0  210.      100.      0.00      0.00    
  1.86     0.548E+04  0  206.      100.      0.00      0.00    
  1.88     0.561E+04  0  201.      100.      0.00      0.00    
  1.90     0.573E+04  0  197.      100.      0.00      0.00    
  1.92     0.586E+04  0  193.      100.      0.00      0.00    
  1.94     0.599E+04  0  189.      100.      0.00      0.00    
  1.96     0.612E+04  0  186.      100.      0.00      0.00    
  1.98     0.624E+04  0  182.      100.      0.00      0.00    
  2.00     0.637E+04  0  178.      100.      0.00      0.00    
  2.02     0.650E+04  0  175.      100.      0.00      0.00    
  2.04     0.663E+04  0  172.      100.      0.00      0.00    
  2.06     0.675E+04  0  169.      100.      0.00      0.00    
  2.08     0.688E+04  0  166.      100.      0.00      0.00    
