TRACE (ray tracing) @ frequency of    1700.00     Hz
Reg Path(Re)  TimeG(s) %dTimeG/T %dPath/WL    WL(km)    R(Re) Alt(km)    Lat^o   Long^o     L(Re)         F/Fge           F/FgH         n(cm-3)       %H+  %He+   %O+ LHR/kHz   RefrInd VeK^o AzK^o ThK^o ThG^o PhK^o Gen^o Res^o
 0-0.239E-28-0.239E-28-0.407E-23-0.159E-23  9.54      5.76925  30385.   0.9300   0.0000   5.771             0.45352       832.65979            8.37 100.0   0.0   0.0   0.087  18.5      61.6  13.4  40.0  -5.8   0.0  24.9  63.0
 0 0.782E-02 0.262E-02  44.7      52.5      9.51      5.76687  30370.   1.0019  -0.0171   5.769             0.45278       831.30994            8.37 100.0   0.0   0.0   0.087  18.5      61.4  13.4  40.3  -5.9 360.0  25.1  63.1
 0 0.157E-01 0.526E-02  44.9      52.9      9.47      5.76443  30354.   1.0741  -0.0343   5.766             0.45203       829.93469            8.37 100.0   0.0   0.0   0.087  18.6      61.3  13.4  40.6  -6.0 360.0  25.3  63.1
 0 0.235E-01 0.790E-02  45.1      53.3      9.44      5.76196  30338.   1.1465  -0.0515   5.764             0.45127       828.53937            8.38 100.0   0.0   0.0   0.087  18.7      61.1  13.4  40.9  -6.2   0.0  25.5  63.2
 0 0.315E-01 0.106E-01  45.3      53.8      9.40      5.75943  30322.   1.2190  -0.0688   5.762             0.45050       827.11975            8.38 100.0   0.0   0.0   0.087  18.8      61.0  13.4  41.2  -6.3 360.0  25.7  63.2
 0 0.394E-01 0.132E-01  45.5      54.2      9.37      5.75686  30306.   1.2919  -0.0861   5.760             0.44971       825.67542            8.38 100.0   0.0   0.0   0.087  18.8      60.8  13.4  41.5  -6.4 360.0  25.9  63.3
 0 0.474E-01 0.159E-01  45.7      54.7      9.33      5.75424  30289.   1.3650  -0.1035   5.758             0.44892       824.20880            8.38 100.0   0.0   0.0   0.087  18.9      60.6  13.4  41.8  -6.5 360.0  26.1  63.3
 0 0.554E-01 0.186E-01  45.9      55.1      9.29      5.75157  30272.   1.4383  -0.1210   5.755             0.44810       822.71875            8.39 100.0   0.0   0.0   0.088  19.0      60.5  13.4  42.1  -6.7 360.0  26.3  63.4
 0 0.635E-01 0.213E-01  46.1      55.6      9.26      5.74885  30255.   1.5119  -0.1385   5.753             0.44728       821.20636            8.39 100.0   0.0   0.0   0.088  19.0      60.3  13.4  42.4  -6.8 360.0  26.5  63.4
 0 0.716E-01 0.240E-01  46.3      56.1      9.22      5.74609  30237.   1.5857  -0.1561   5.750             0.44644       819.66980            8.39 100.0   0.0   0.0   0.088  19.1      60.2  13.4  42.7  -6.9 360.0  26.8  63.5
 0 0.797E-01 0.268E-01  46.5      56.6      9.18      5.74327  30219.   1.6599  -0.1737   5.748             0.44559       818.10779            8.40 100.0   0.0   0.0   0.088  19.2      60.0  13.4  43.0  -7.0 360.0  27.0  63.5
 0 0.879E-01 0.295E-01  46.7      57.1      9.15      5.74041  30201.   1.7342  -0.1915   5.746             0.44473       816.52246            8.40 100.0   0.0   0.0   0.088  19.3      59.9  13.4  43.3  -7.2 360.0  27.2  63.6
 0 0.961E-01 0.323E-01  47.0      57.6      9.11      5.73749  30183.   1.8089  -0.2092   5.743             0.44385       814.91315            8.40 100.0   0.0   0.0   0.088  19.4      59.7  13.4  43.6  -7.3 360.0  27.4  63.7
 0 0.104     0.350E-01  47.2      58.2      9.07      5.73452  30164.   1.8838  -0.2271   5.741             0.44296       813.27869            8.41 100.0   0.0   0.0   0.089  19.4      59.6  13.4  43.9  -7.4 360.0  27.6  63.7
 0 0.113     0.378E-01  47.4      58.7      9.04      5.73149  30144.   1.9591  -0.2450   5.738             0.44206       811.61792            8.41 100.0   0.0   0.0   0.089  19.5      59.4  13.4  44.2  -7.5 360.0  27.9  63.8
 0 0.121     0.406E-01  47.7      59.3      9.00      5.72842  30125.   2.0346  -0.2630   5.736             0.44114       809.93195            8.41 100.0   0.0   0.0   0.089  19.6      59.3  13.4  44.5  -7.7 360.0  28.1  63.8
 0 0.129     0.434E-01  47.9      59.9      8.96      5.72529  30105.   2.1105  -0.2811   5.733             0.44021       808.22180            8.42 100.0   0.0   0.0   0.089  19.7      59.1  13.4  44.8  -7.8 360.0  28.3  63.9
 0 0.138     0.462E-01  48.1      60.4      8.92      5.72210  30085.   2.1866  -0.2992   5.730             0.43926       806.48517            8.42 100.0   0.0   0.0   0.089  19.8      59.0  13.4  45.1  -7.9 360.0  28.5  63.9
 0 0.146     0.491E-01  48.4      61.0      8.89      5.71886  30064.   2.2631  -0.3174   5.728             0.43830       804.72211            8.43 100.0   0.0   0.0   0.090  19.8      58.9  13.4  45.4  -8.0 360.0  28.8  64.0
 0 0.155     0.519E-01  48.6      61.7      8.85      5.71556  30043.   2.3399  -0.3357   5.725             0.43733       802.93390            8.43 100.0   0.0   0.0   0.090  19.9      58.7  13.4  45.7  -8.2 360.0  29.0  64.1
 0 0.164     0.548E-01  48.9      62.3      8.81      5.71220  30021.   2.4171  -0.3541   5.722             0.43634       801.11804            8.43 100.0   0.0   0.0   0.090  20.0      58.6  13.4  46.0  -8.3 360.0  29.2  64.1
 0 0.172     0.577E-01  49.1      62.9      8.77      5.70879  30000.   2.4945  -0.3726   5.720             0.43534       799.27563            8.44 100.0   0.0   0.0   0.090  20.1      58.4  13.4  46.2  -8.4   0.0  29.5  64.2
 0 0.181     0.606E-01  49.4      63.6      8.73      5.70532  29978.   2.5724  -0.3912   5.717             0.43432       797.40656            8.44 100.0   0.0   0.0   0.090  20.2      58.3  13.4  46.5  -8.5 360.0  29.7  64.3
 0 0.190     0.635E-01  49.7      64.3      8.69      5.70178  29955.   2.6506  -0.4098   5.714             0.43328       795.50995            8.45 100.0   0.0   0.0   0.091  20.3      58.2  13.4  46.8  -8.6   0.0  29.9  64.3
 0 0.198     0.664E-01  49.9      65.0      8.66      5.69819  29932.   2.7291  -0.4285   5.711             0.43224       793.58521            8.45 100.0   0.0   0.0   0.091  20.4      58.0  13.4  47.1  -8.8 360.0  30.2  64.4
 0 0.207     0.694E-01  50.2      65.7      8.62      5.69453  29909.   2.8081  -0.4474   5.708             0.43117       791.63232            8.45 100.0   0.0   0.0   0.091  20.5      57.9  13.4  47.4  -8.9   0.0  30.4  64.5
 0 0.216     0.723E-01  50.5      66.4      8.58      5.69081  29885.   2.8874  -0.4663   5.705             0.43009       789.65131            8.46 100.0   0.0   0.0   0.091  20.6      57.7  13.4  47.7  -9.0 360.0  30.7  64.5
 0 0.225     0.753E-01  50.8      67.1      8.54      5.68703  29861.   2.9671  -0.4853   5.702             0.42900       787.64221            8.46 100.0   0.0   0.0   0.091  20.7      57.6  13.4  48.0  -9.1   0.0  30.9  64.6
 0 0.234     0.783E-01  51.1      67.9      8.50      5.68319  29837.   3.0472  -0.5044   5.699             0.42789       785.60474            8.47 100.0   0.0   0.0   0.092  20.7      57.5  13.4  48.3  -9.2   0.0  31.2  64.7
 0 0.243     0.813E-01  51.4      68.7      8.46      5.67927  29812.   3.1277  -0.5236   5.696             0.42676       783.53680            8.47 100.0   0.0   0.0   0.092  20.8      57.3  13.4  48.6  -9.4   0.0  31.4  64.7
 0 0.252     0.844E-01  51.7      69.5      8.42      5.67529  29786.   3.2087  -0.5429   5.693             0.42562       781.44043            8.48 100.0   0.0   0.0   0.092  20.9      57.2  13.4  48.9  -9.5   0.0  31.7  64.8
 0 0.262     0.874E-01  52.0      70.3      8.38      5.67125  29761.   3.2901  -0.5624   5.690             0.42446       779.31494            8.48 100.0   0.0   0.0   0.092  21.0      57.1  13.4  49.1  -9.6   0.0  31.9  64.9
 0 0.271     0.905E-01  52.3      71.1      8.34      5.66713  29734.   3.3719  -0.5819   5.687             0.42329       777.15826            8.49 100.0   0.0   0.0   0.093  21.1      57.0  13.4  49.4  -9.7   0.0  32.2  65.0
 0 0.280     0.936E-01  52.6      72.0      8.30      5.66295  29708.   3.4542  -0.6016   5.684             0.42210       774.97198            8.49 100.0   0.0   0.0   0.093  21.2      56.8  13.4  49.7  -9.8   0.0  32.4  65.0
 0 0.290     0.967E-01  52.9      72.9      8.26      5.65870  29681.   3.5369  -0.6213   5.680             0.42089       772.75574            8.50 100.0   0.0   0.0   0.093  21.3      56.7  13.4  50.0  -9.9   0.0  32.7  65.1
 0 0.299     0.998E-01  53.2      73.8      8.22      5.65437  29653.   3.6201  -0.6412   5.677             0.41967       770.50745            8.50 100.0   0.0   0.0   0.093  21.5      56.6  13.4  50.3 -10.0   0.0  32.9  65.2
 0 0.309     0.103      53.6      74.7      8.18      5.64997  29625.   3.7038  -0.6612   5.674             0.41842       768.22791            8.51 100.0   0.0   0.0   0.094  21.6      56.4  13.4  50.6 -10.1   0.0  33.2  65.3
 0 0.318     0.106      53.9      75.7      8.14      5.64549  29596.   3.7880  -0.6813   5.670             0.41717       765.91547            8.51 100.0   0.0   0.0   0.094  21.7      56.3  13.4  50.9 -10.2   0.0  33.5  65.3
 0 0.328     0.109      54.3      76.6      8.10      5.64095  29567.   3.8727  -0.7015   5.667             0.41589       763.57233            8.52 100.0   0.0   0.0   0.094  21.8      56.2  13.4  51.1 -10.3   0.0  33.7  65.4
 0 0.338     0.112      54.6      77.6      8.06      5.63632  29538.   3.9579  -0.7219   5.663             0.41459       761.19635            8.52 100.0   0.0   0.0   0.095  21.9      56.1  13.4  51.4 -10.5   0.0  34.0  65.5
 0 0.348     0.116      55.0      78.7      8.02      5.63161  29508.   4.0436  -0.7424   5.660             0.41328       758.78662            8.53 100.0   0.0   0.0   0.095  22.0      56.0  13.4  51.7 -10.6   0.0  34.3  65.6
 0 0.358     0.119      55.3      79.7      7.98      5.62683  29478.   4.1299  -0.7631   5.656             0.41195       756.34436            8.54 100.0   0.0   0.0   0.095  22.1      55.8  13.4  52.0 -10.7   0.0  34.5  65.7
 0 0.368     0.122      55.7      80.8      7.93      5.62197  29447.   4.2167  -0.7838   5.653             0.41060       753.86835            8.54 100.0   0.0   0.0   0.095  22.2      55.7  13.4  52.3 -10.8   0.0  34.8  65.8
 0 0.378     0.126      56.1      81.9      7.89      5.61702  29415.   4.3042  -0.8047   5.649             0.40924       751.35901            8.55 100.0   0.0   0.0   0.096  22.3      55.6  13.4  52.6 -10.9   0.0  35.1  65.8
