TRACE (ray tracing) @ frequency of    1700.00     Hz
Reg Path(Re)  TimeG(s) %dTimeG/T %dPath/WL    WL(km)    R(Re) Alt(km)    Lat^o   Long^o     L(Re)         F/Fge           F/FgH         n(cm-3)       %H+  %He+   %O+ LHR/kHz   RefrInd VeK^o AzK^o ThK^o ThG^o PhK^o Gen^o Res^o
 0-0.238E-28-0.238E-28-0.405E-23-0.160E-23  9.45      5.76925  30385.  -0.9300   0.0000   5.771             0.45714       839.31097            8.37 100.0   0.0   0.0   0.086  18.7     122.0 193.3 140.0 186.1 180.0 156.1 117.2
 0 0.776E-02 0.264E-02  44.8      52.0      9.49      5.77117  30397.  -1.0026   0.0172   5.773             0.45772       840.37347            8.36 100.0   0.0   0.0   0.086  18.6     121.8 193.3 140.3 186.0 180.0 156.3 117.2
 0 0.155E-01 0.527E-02  44.6      51.6      9.52      5.77304  30409.  -1.0750   0.0344   5.775             0.45829       841.41211            8.36 100.0   0.0   0.0   0.086  18.5     121.7 193.3 140.6 185.9 180.0 156.4 117.3
 0 0.232E-01 0.789E-02  44.4      51.2      9.56      5.77487  30421.  -1.1472   0.0515   5.777             0.45884       842.42896            8.36 100.0   0.0   0.0   0.086  18.4     121.5 193.3 140.9 185.7 180.0 156.6 117.3
 0 0.309E-01 0.105E-01  44.2      50.8      9.60      5.77666  30432.  -1.2192   0.0686   5.779             0.45938       843.42365            8.36 100.0   0.0   0.0   0.086  18.4     121.4 193.3 141.2 185.6 180.0 156.7 117.3
 0 0.385E-01 0.131E-01  44.0      50.5      9.63      5.77840  30443.  -1.2910   0.0857   5.781             0.45991       844.39459            8.36 100.0   0.0   0.0   0.085  18.3     121.2 193.3 141.5 185.5 180.0 156.9 117.4
 0 0.461E-01 0.157E-01  43.9      50.1      9.67      5.78010  30454.  -1.3626   0.1027   5.783             0.46043       845.34442            8.35 100.0   0.0   0.0   0.085  18.2     121.1 193.3 141.8 185.4 180.0 157.1 117.4
 0 0.537E-01 0.183E-01  43.7      49.7      9.71      5.78176  30465.  -1.4340   0.1196   5.785             0.46093       846.27216            8.35 100.0   0.0   0.0   0.085  18.2     120.9 193.4 142.1 185.2 180.0 157.2 117.4
 0 0.613E-01 0.208E-01  43.5      49.4      9.74      5.78338  30475.  -1.5053   0.1365   5.787             0.46143       847.17816            8.35 100.0   0.0   0.0   0.085  18.1     120.8 193.4 142.4 185.1 180.0 157.3 117.5
 0 0.688E-01 0.234E-01  43.3      49.1      9.78      5.78496  30485.  -1.5763   0.1534   5.789             0.46191       848.06287            8.35 100.0   0.0   0.0   0.085  18.0     120.6 193.4 142.6 185.0 180.0 157.5 117.5
 0 0.763E-01 0.259E-01  43.1      48.7      9.81      5.78649  30495.  -1.6472   0.1702   5.791             0.46238       848.92535            8.35 100.0   0.0   0.0   0.085  18.0     120.5 193.4 142.9 184.9 180.0 157.6 117.5
